,Chapter,Test Case,hash,Type,Date,Status,part,_merge,node,up_date
0,1.1.1,Power check,872ccd9c6dce18ce6ea4d5106540f089,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
1,1.1.2,Power up,522c33efdda0b8dc6ce90c991beb9666,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
2,1.1.3,Local connection to BSP,ad2f981820c1e26b9c95b61832af190a,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
3,1.1.4,Verify BSP Software version,812b7598bbe881cd8e5efaa29fc2d684,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
4,1.1.5,BSP Alarms,75d011862ef65fffc11437b37454ce76,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
5,1.1.6,Check Shelf and Blade Status,7456ee57ea536a24e49fdfb1d56359bf,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
6,1.1.7,Check CMXB configuration,a7145d355d740865df1d9db5e3d5ba30,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
7,1.1.8,Lock/Unlock SCXB board in main shelf with Standby DMXC,91e70420cca54c70994ea3a14cb0553a,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
8,1.1.9,Lock/Unlock SCXB board in main shelf with Active DMXC,3576f9d10c59a69e7c731850cc8b8d7b,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
9,1.1.10,Lock/Unlock Active CMX Board in main shelf,e7e4d9701137fb31a611ebcef3fc5616,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
10,1.1.11,Create BSP Configuration Backup,633956bea4e529251c111fd47c8d6c3d,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
11,1.1.12,Restore node from BSP Configuration Backup,7cac7401e143c0858e706f5349fab9a5,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
12,1.1.13,NTP Server Connection,6e0c5d81f59bef066c2ea2fe22af723e,BSP,01.01.2022,N-A,BSP,both,VS40MSK,2023-9-22
13,2.1.1,Check HW configuration,9db531902daddabddb83b22e9629f0ad,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
14,2.1.2,Access to APG43L,9562870d7e8245d03c2ac6055dff735f,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
15,2.1.3,Configuration of IP addresses,6c1f97d67fec3e255c0cb2279cc943de,Compact & Cluster,2023-06-20 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
16,2.1.4,Connection to the node and login,287d1ac6a08490838018a515394ee921,Compact & Cluster,2023-06-20 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
17,2.1.5,Create a temporary troubleshooting user,5fd08c89b5f5fb4807fcec58ae247364,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
18,2.1.6,Serial console connection,73ccd957744dd2396f454d124d02080b,Compact & Cluster,2023-06-21 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
19,2.2.1,Check and Change public IP address,2c837ab2c7cadbdc35b5bd7115e9eff1,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
20,2.2.2,Check APG status,0656d165197f3b22591f6e91f3bb970f,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
21,2.2.3,Check APG date and time,7d30aa8b30a57b85d658fcd54426884a,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
22,2.2.4,Unlock ts_user,f646e5445d3791b94e8b9282903afc4f,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
23,2.2.5,Check APG backup,eb6775d1512159161e78f11c8b83a3a1,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
24,2.2.6,Check system configuration,38a9f108005b63c87f42d9463c3baa8e,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
25,2.2.7,Check APG SW level,22c4368303353afc3da4c37a63ac9c8e,Compact & Cluster,2023-08-08 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
26,2.2.8,Check RAID mirror status,c39014e9fc9434df5300cb3afe6de049,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
27,2.2.9,Check Power Redundancy,9f27e70747bb6f7bd8766a9f2e588c74,Compact & Cluster,2023-06-21 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
28,2.2.10,Check Hardware Configuration Table,c89fba4e40a852bd75925b2631f966af,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
29,2.2.11,Disable insecure protocols,e24fa90fddf5038d12c5823f1a82a241,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
30,2.2.12,Managed Element Identity (Node Name),3b51c3c8bdb7112418e8abecca4f6aaf,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
31,2.3.1,Welcome Message,03e4c32efb63959da9a8150119a167af,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
32,2.3.2,Check CP volumes and create CP files,c2ee74b62870d06b4b4ad6819b9bf142,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
33,2.3.3,Network Surveillance Function (NSF),73fb5c21df0af98eded20765c75ac21d,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
34,2.3.4,License Key File,bb2890f601990168bb49c1c060892de1,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
35,2.3.5,LDAP Configuration,b5a4d71c0a119e86fefee05f6b40066c,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
36,2.3.6,LDAP connectivity verification,e16be4785c3d308a5aba12eb38bad31f,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
37,2.3.7,NTP,08f86f330f8cba76114532e79b0c4620,Compact & Cluster,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
38,2.4.1,APG43L Backup check,12a43319e7db5c6f85c503cdfc9ea34d,Compact & Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
39,3.1.1,Power up / Cold start,d9e15b7599116e38f870d0dc600c08a4,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
40,3.2.1,Test of CP-AP Communication,f2f87b58be0d57ecf71ada8df361a2d9,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
41,3.2.2,Check board configuration,07c01f92f8cc36c71e58a8ad0fb8639d,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
42,3.2.3,Check CP SW Version,594663875f34563eccad2ac626416af8,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
43,3.2.4,Check status on APG,426ac9e16e3278c8e1dfc781fcd77806,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
44,3.2.5,Initial Loading,93dd16f99950312e32f87049a058942e,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
45,3.2.6,Check for CP FAULT ALARM,73dfbb5700b11d1ed0a2816bf9e5b408,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
46,3.2.7,IP Configuration Check,555e87164251252d1a870d3859a52866,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
47,3.2.8,Power cycle test,15ba410bf723c290f02d15bb11cb5589,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
48,3.2.9,MSC Tenants check for Multi-application MSC,47d00337b63e5813209cc10b972ffa34,Cluster,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
49,3.3.1,Make CP backup,1dd785e1de9a32e236b624ae268bb803,Compact,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
50,4.1.1,Hardware Configuration Check,737ea9953b21c4ffabc349e9b20f3b4b,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
51,4.1.2,Check CP Volumes and CP Files on AP1,e665caf5a91ebe9e287226a3dade0d69,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
52,4.1.3,Check APZ Middleware,2394c9ffd5558f411ffdc3326e9a8962,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
53,4.1.4,Boot Start of the Dual CPs for SPXs,a8ae891fee3f029670061a690b906444,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
54,4.1.5,Boot Start of Cluster CPs,8e54c4eba7a11ffaf30122b9de464a1f,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
55,4.1.6,Test the AP-CP Communication,0530238aab3276cdca8e60a23cfe914e,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
56,4.1.7,Transfer MAS Dump to AP1,99c7573d6c7ef89bf2b3047d9a77e2fa,Cluster,2023-06-19 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
57,4.1.8,Initial Loading and Application Startup of Dual CPs,dedd978ae5fb3a373069b1e3fc92b8fd,Cluster,2023-06-20 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
58,4.1.9,Initial Loading and Application Startup of Cluster CPs,604453858cb7940492f90684752e14dd,Cluster,2023-06-20 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
59,4.1.10,Test the AP-IPLB Communication,55be864f009e5d8a5b3eefb11881f86a,Cluster,2023-06-20 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
60,4.1.11,Lock/Unlock IPLB,4501c31d4aabf710b9f7f86fc72eb2be,Cluster,2023-07-31 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
61,4.1.12,Lock/Unlock SPX,0895c2f3dbcff8e891937671d1a93c93,Cluster,2023-07-31 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
62,4.2.1,"Blade Restart, Large",65bf9cb61d2ad5d51ddbf22319311dc3,Cluster,2023-08-03 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
63,4.2.2,Blade Reload,7f71c290ad26c3eb3e08fdd438379022,Cluster,2023-08-03 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
64,4.2.3,Forced Reconfiguration (Blade taken out of Quorum),e5544c9f2c558bb7b6f240d0416162f6,Cluster,2023-08-03 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
65,4.2.4,Blade re-inserted and re-activated,79ef453460e51233c741f98abdbb9361,Cluster,2023-08-03 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
66,4.2.5,"Blade Isolation and Removal , Traffic Level",5441717396398d064ef2ea407b8b8223,Cluster,2023-08-14 00:00:00,OK,HW+MW,both,VS40MSK,2023-9-22
67,4.2.6,SUA association state check,1e67c6fe796ff80b43b1f435f7168729,Cluster,2022-01-01 00:00:00,N-A,HW+MW,both,VS40MSK,2023-9-22
68,4.2.7,Power cycle test,6f0f99806c61c7984dfca14c48611966,,,,,left_only,VS40MSK,2023-9-22
69,5.1.1,Backup,2c0fc24b3d3038317dc51c05339856d0,Compact & Cluster,2022-01-01 00:00:00,TBD,HW+MW,both,VS40MSK,2023-9-22
70,5.1.2,Traffic Configuration Printout Collection,4acdb660b77133731754dedcde68495b,Compact & Cluster,2022-01-01 00:00:00,TBD,HW+MW,both,VS40MSK,2023-9-22
71,5.1.3,APG43L Printout Collection,5488c86a1260428f0c13c0f8fb06bf6a,Compact & Cluster,2022-01-01 00:00:00,TBD,HW+MW,both,VS40MSK,2023-9-22
72,5.1.4,BSP Configuration Printout Collection,7f5e6c29417bb1282666acfb2678e9de,Compact & Cluster,2022-01-01 00:00:00,TBD,HW+MW,both,VS40MSK,2023-9-22
73,7.1,Check Power Redundancy,7cd31cf6820896d838535a73cafb15ca,BSP,2023-06-21 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
74,7.2,Check of physical connectivity,74c5d9234051010a38a669f48bfeb435,Compact & Cluster,2022-06-21 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
75,7.3,Physical link failure of external link on Active CMXB in main shelf (O&M),6924f66d3c42e6c8f021dc7c8693ba4c,Compact & Cluster,2023-06-21 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
76,7.4,Physical link failure of external link on Passive CMXB in main shelf (O&M),d0201c3c7c67230ad82ad841f7c8e260,Compact & Cluster,2022-06-21 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
77,7.5,Physical external link failure of master CMXB while another CMXB is in locked state,0d640498fb206f2d67e1829ba976d945,Compact & Cluster,2023-08-14 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
78,7.6,Check CMXB configuration (Signalling links),5960276c0e365f7a81a90baab3a72051,Compact & Cluster,2023-08-14 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
79,7.7,SCXB failure scenarios,971455e5b307f416baac0cb24b710792,Compact & Cluster,2023-08-14 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
80,7.8,CMXB failure scenarios,90cc3a10dc0cf2e7e72098e531c4d970,Compact & Cluster,2023-08-14 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
81,7.9,IPLB failure scenarios,299e5505ce975112afaefec130cc83e0,Cluster,2023-08-14 00:00:00,OK,Redundancy,both,VS40MSK,2023-9-22
